drawdate,n1,n2,n3,n4,n5,prize_5,prize_4,prize_3
2015-02-23,7,23,25,29,34,0,631,14
2015-02-24,6,17,25,33,37,0,652,16
2015-02-25,4,21,30,37,39,0,600,16
2015-02-26,14,15,17,27,40,487434,553,14
2015-02-27,19,21,31,35,43,0,741,18
2015-02-28,5,13,15,32,40,0,572,16
2015-03-01,6,9,13,36,43,0,589,17
2015-03-02,2,14,19,21,22,464724,446,12
2015-03-03,16,19,23,36,37,0,609,18
2015-03-04,6,10,30,36,41,0,622,18
2015-03-05,3,8,13,19,42,289848,679,13
2015-03-06,12,20,23,25,26,0,434,12
2015-03-07,9,18,31,34,36,0,628,16
2015-03-08,24,25,33,39,41,0,923,18
2015-03-09,8,21,33,34,39,457512,604,16
2015-03-10,1,2,13,15,42,0,638,17
2015-03-11,2,13,30,39,42,0,849,19
2015-03-12,11,13,16,24,35,0,539,15
2015-03-13,5,14,19,33,41,0,507,15
2015-03-14,4,5,12,23,41,697352,493,14
2015-03-15,3,11,17,41,42,0,657,18
2015-03-16,2,6,8,30,42,0,512,14
2015-03-17,10,12,20,30,33,0,425,13
2015-03-18,11,18,21,36,41,0,614,17
2015-03-19,1,3,17,28,42,0,506,15
2015-03-20,9,15,27,28,30,964534,450,13
2015-03-21,1,15,19,36,42,0,898,19
2015-03-22,1,10,13,14,34,165107,562,14
2015-03-23,5,9,14,15,21,0,315,10
2015-03-24,4,27,28,35,38,189307,584,16
2015-03-25,5,9,10,19,31,0,299,10
2015-03-26,2,4,32,34,36,0,614,17
2015-03-27,19,20,25,38,42,0,681,17
2015-03-28,4,6,14,35,37,0,551,16
2015-03-29,4,13,20,35,42,731700,573,17
2015-03-30,14,16,17,21,39,0,479,15
2015-03-31,7,10,13,21,35,62909,434,12
2015-04-01,2,4,27,28,42,82195,591,15
2015-04-02,18,22,23,38,39,0,544,18
2015-04-03,6,9,19,24,38,201046,412,13
2015-04-04,4,11,12,27,43,0,404,13
2015-04-05,4,18,23,30,41,0,738,16
2015-04-06,6,30,31,36,37,291814,636,17
2015-04-07,20,34,37,40,41,0,811,22
2015-04-08,8,22,29,30,33,0,415,14
2015-04-09,18,22,33,38,43,0,705,18
2015-04-10,28,33,37,40,43,268471,564,18
2015-04-11,25,27,37,41,42,0,856,22
2015-04-12,10,22,25,32,33,0,685,16
2015-04-13,29,30,32,33,35,0,638,17
2015-04-14,3,5,6,26,29,472271,384,12
2015-04-15,6,11,16,22,23,79496,349,12
2015-04-16,1,3,4,9,43,0,430,11
2015-04-17,2,15,22,41,42,0,683,18
2015-04-18,2,14,18,23,41,0,554,16
2015-04-19,12,15,25,31,35,0,487,14
2015-04-20,2,6,14,20,38,0,494,14
2015-04-21,7,22,23,30,32,0,519,15
2015-04-22,1,16,23,28,43,1388855,584,16
2015-04-23,5,22,34,37,38,42475,611,18
2015-04-24,1,6,13,33,41,0,627,17
2015-04-25,1,11,24,25,38,0,532,14
2015-04-26,2,9,21,37,39,299778,684,16
2015-04-27,14,24,26,27,28,0,430,13
2015-04-28,5,13,19,25,42,187962,445,14
2015-04-29,7,22,23,39,40,0,581,16
2015-04-30,6,10,33,38,41,0,585,18
2015-05-01,3,23,34,36,40,343929,605,17
2015-05-02,3,13,15,28,34,0,516,14
2015-05-03,6,8,13,22,36,0,451,14
2015-05-04,3,13,33,36,41,0,472,16
2015-05-05,2,7,17,22,42,0,516,14
2015-05-06,5,15,20,21,26,681087,392,13
2015-05-07,10,12,19,20,31,0,341,11
2015-05-08,8,14,17,22,26,97458,371,12
2015-05-09,3,20,22,38,40,0,818,18
2015-05-10,11,12,24,25,43,80581,560,15
2015-05-11,4,9,10,40,43,0,595,16
2015-05-12,6,8,21,29,30,0,344,12
2015-05-13,11,34,36,38,42,318645,516,18
2015-05-14,7,14,34,42,43,0,816,19
2015-05-15,2,21,30,32,39,0,714,17
2015-05-16,16,24,33,39,41,0,512,18
2015-05-17,13,16,20,34,38,0,530,16
2015-05-18,5,17,19,23,40,691306,431,13
2015-05-19,3,10,12,16,31,0,270,11
2015-05-20,6,16,23,27,31,175662,475,14
2015-05-21,4,10,29,35,40,0,563,16
2015-05-22,12,20,24,30,34,193374,498,15
2015-05-23,22,24,27,28,32,0,482,14
